production,percent_production,scenario,kg_id,name,crop
6149860.443304579,0.23510198624594375,future,1,Af,oats
1975688.0221573254,0.07552824694049777,future,2,Am,oats
11284036.284914615,0.43137553573967147,future,3,Aw,oats
48191472.454841696,1.8423037398490838,future,4,BWh,oats
7828305.333846571,0.2992669752255538,future,5,BWk,oats
128890631.06089579,4.927338376255405,future,6,BSh,oats
492848633.0584793,18.841027958088937,future,7,BSk,oats
96479660.32143657,3.6883047969972163,future,8,Csa,oats
28120691.763887573,1.075021221903928,future,9,Csb,oats
1829.3612538818843,6.993434539107974e-5,future,10,Csc,oats
29510119.08691014,1.128137406636644,future,11,Cwa,oats
2897248.048757414,0.11075841105494143,future,12,Cwb,oats
1862.8417624980161,7.121426615493164e-5,future,13,Cwc,oats
470132124.53064984,17.972602353198972,future,14,Cfa,oats
265374888.59088588,10.144972228668728,future,15,Cfb,oats
28977.861249135738,0.001107789810783153,future,16,Cfc,oats
380051.00486233324,0.014528906296593857,future,17,Dsa,oats
664214.3745063557,0.02539214022483428,future,18,Dsb,oats
46639.54042481535,0.0017829751898532666,future,19,Dsc,oats
0,0,future,20,Dsd,oats
45768287.581226595,1.7496682106236572,future,21,Dwa,oats
6096325.444639192,0.23305540573636338,future,22,Dwb,oats
935304.3654391175,0.03575559414500817,future,23,Dwc,oats
0,0,future,24,Dwd,oats
695083249.082696,26.572221267807482,future,25,Dfa,oats
276244880.1173463,10.560519316591623,future,26,Dfb,oats
554473.9246074334,0.021196890921112425,future,27,Dfc,oats
0,0,future,28,Dfd,oats
336984.6615997928,0.012882530263395238,future,29,ET,oats
224.62030913971898,8.586972227543674e-6,future,30,EF,oats
245209.63026923276,0.009374077941182148,present,1,Af,oats
471626.78809438966,0.018029741596575992,present,2,Am,oats
6204911.689299659,0.2372065311210796,present,3,Aw,oats
3181038.9008448226,0.12160740407181829,present,4,BWh,oats
15050102.700232115,0.5753478588090901,present,5,BWk,oats
27568408.42064331,1.053908074351346,present,6,BSh,oats
266460539.0442277,10.186475378260903,present,7,BSk,oats
73881072.65372016,2.824387168944776,present,8,Csa,oats
37293362.17089935,1.4256817046496262,present,9,Csb,oats
83347.84528019172,0.0031862908362459245,present,10,Csc,oats
14938662.764213203,0.5710876401347476,present,11,Cwa,oats
8072329.999687458,0.3085957533598048,present,12,Cwb,oats
11869.166220292042,4.5374437016890834e-4,present,13,Cwc,oats
138592008.40591368,5.298210708101285,present,14,Cfa,oats
220179906.11041617,8.417220802849451,present,15,Cfb,oats
591949.1643065596,0.02262952559136734,present,16,Cfc,oats
419977.2171921883,0.01605523878959305,present,17,Dsa,oats
4508448.041918262,0.17235270610011863,present,18,Dsb,oats
429818.3410137245,0.016431453466115402,present,19,Dsc,oats
0,0,present,20,Dsd,oats
33501896.362702273,1.2807383924381806,present,21,Dwa,oats
28246666.416228216,1.0798370858174207,present,22,Dwb,oats
21665687.26141619,0.8282539344592603,present,23,Dwc,oats
0,0,present,24,Dwd,oats
183463301.4967789,7.013587866386476,present,25,Dfa,oats
1278278953.5392022,48.867112306692874,present,26,Dfb,oats
248825128.64797762,9.512294223965819,present,27,Dfc,oats
25600.528045654297,9.786783046485188e-4,present,28,Dfd,oats
3629800.2983015846,0.13876302847423125,present,29,ET,oats
5040.177844659616,1.926801157906518e-4,present,30,EF,oats
