production,percent_production,scenario,kg_id,name,crop
27706.061045335922,0.01652095575176037,future,1,Af,cherry
72246.33526302557,0.04308005046817071,future,2,Am,cherry
585617.6533408063,0.3492002462010708,future,3,Aw,cherry
10430247.35797725,6.219493084891829,future,4,BWh,cherry
5878800.422842077,3.5054929497296405,future,5,BWk,cherry
18908491.10785813,11.2750182862268,future,6,BSh,cherry
44834115.59243899,26.734310541652583,future,7,BSk,cherry
38844681.97257971,23.162847689178335,future,8,Csa,cherry
1663364.9392385161,0.9918544002058778,future,9,Csb,cherry
948.2717518955524,5.6544868027525e-4,future,10,Csc,cherry
492074.043842623,0.29342076059138344,future,11,Cwa,cherry
23205.59748075206,0.013837356690485065,future,12,Cwb,cherry
67.05279738836543,3.998317540960674e-5,future,13,Cwc,cherry
30705610.831738595,18.309569052484438,future,14,Cfa,cherry
5537504.816392385,3.3019804546405997,future,15,Cfb,cherry
7095.020306070225,0.004230717471625577,future,16,Cfc,cherry
952557.209495046,0.5680040725867527,future,17,Dsa,cherry
1074775.3993900404,0.6408820361490021,future,18,Dsb,cherry
40851.46527691736,0.024359480372549796,future,19,Dsc,cherry
0,0,future,20,Dsd,cherry
131282.07631938442,0.07828270392975598,future,21,Dwa,cherry
10575.052422552373,0.006305839464500312,future,22,Dwb,cherry
2549.129737643504,0.0015200305641495868,future,23,Dwc,cherry
0,0,future,24,Dwd,cherry
4971385.121461529,2.9644067224941018,future,25,Dfa,cherry
2267651.388698259,1.3521867360285986,future,26,Dfb,cherry
151953.4942628511,0.09060894476966957,future,27,Dfc,cherry
0,0,future,28,Dfd,cherry
86084.25097957175,0.05133151547705671,future,29,ET,cherry
1089.9660413330666,6.499401235823228e-4,future,30,EF,cherry
36823.778138412024,0.021957795019720377,present,1,Af,cherry
45285.69764791033,0.02700358617576467,present,2,Am,cherry
337509.3861078397,0.2012547949189657,present,3,Aw,cherry
3424790.6624974594,2.0421818497251705,present,4,BWh,cherry
7274597.914027315,4.3377985074397785,present,5,BWk,cherry
4688348.273509436,2.79563357089082,present,6,BSh,cherry
36128261.826078,21.543062871332495,present,7,BSk,cherry
30344034.633910067,18.093963364059793,present,8,Csa,cherry
5932452.726614463,3.5374854922694543,present,9,Csb,cherry
7323.066233953985,0.0043666998719304,present,10,Csc,cherry
425510.2299789987,0.25372916308461785,present,11,Cwa,cherry
54357.058249840826,0.032412783349896536,present,12,Cwb,cherry
502.2357894062411,2.9948014768875806e-4,present,13,Cwc,cherry
10442155.723005615,6.2265939705567925,present,14,Cfa,cherry
12390824.882514885,7.388573542694213,present,15,Cfb,cherry
17117.758569575526,0.010207215361090868,present,16,Cfc,cherry
3622269.394679863,2.1599372170782085,present,17,Dsa,cherry
6053552.31746446,3.6096964420221216,present,18,Dsb,cherry
376518.934430972,0.22451595141061062,present,19,Dsc,cherry
0,0,present,20,Dsd,cherry
239593.57174990902,0.14286819013389918,present,21,Dwa,cherry
53123.79960131172,0.031677398715845316,present,22,Dwb,cherry
57733.23834015294,0.03442597901097411,present,23,Dwc,cherry
0,0,present,24,Dwd,cherry
9044474.281041082,5.393165024451158,present,25,Dfa,cherry
34751067.158412784,20.72185006418438,present,26,Dfb,cherry
1379729.6163985233,0.8227243816655981,present,27,Dfc,cherry
0,0,present,28,Dfd,cherry
557735.7243792338,0.33257442148011473,present,29,ET,cherry
16837.741607202795,0.010040242948898012,present,30,EF,cherry
